source,target,type,impact_score,mitigation
CVE-2025-8914,IT-04392,TARGETS,0.5,Isoler IT-04392 et appliquer les correctifs pour CVE-2025-8914.
T8528,IT-08910,TARGETS,0.63,Isoler IT-08910 et appliquer les correctifs pour T8528.
CVE-2022-7169,IT-07857,TARGETS,0.85,Isoler IT-07857 et appliquer les correctifs pour CVE-2022-7169.
T3500,IT-00622,TARGETS,0.51,Isoler IT-00622 et appliquer les correctifs pour T3500.
T2956,IT-03197,TARGETS,0.87,Isoler IT-03197 et appliquer les correctifs pour T2956.
CVE-2024-5030,IT-05553,TARGETS,0.61,Isoler IT-05553 et appliquer les correctifs pour CVE-2024-5030.
T4888,IT-04531,TARGETS,0.92,Isoler IT-04531 et appliquer les correctifs pour T4888.
CVE-2021-6989,IT-06792,TARGETS,0.87,Isoler IT-06792 et appliquer les correctifs pour CVE-2021-6989.
T6144,IT-05011,TARGETS,0.91,Isoler IT-05011 et appliquer les correctifs pour T6144.
T5088,IT-08986,TARGETS,0.61,Isoler IT-08986 et appliquer les correctifs pour T5088.
CVE-2024-9225,IT-01871,TARGETS,0.77,Isoler IT-01871 et appliquer les correctifs pour CVE-2024-9225.
T6255,IT-06288,TARGETS,0.71,Isoler IT-06288 et appliquer les correctifs pour T6255.
CVE-2024-7889,IT-06523,TARGETS,0.89,Isoler IT-06523 et appliquer les correctifs pour CVE-2024-7889.
T2978,IT-06744,TARGETS,0.5,Isoler IT-06744 et appliquer les correctifs pour T2978.
CVE-2020-5223,IT-00744,TARGETS,0.71,Isoler IT-00744 et appliquer les correctifs pour CVE-2020-5223.
CVE-2022-9768,IT-07821,TARGETS,0.61,Isoler IT-07821 et appliquer les correctifs pour CVE-2022-9768.
T1113,IT-00328,TARGETS,0.58,Isoler IT-00328 et appliquer les correctifs pour T1113.
T7887,IT-06702,TARGETS,0.58,Isoler IT-06702 et appliquer les correctifs pour T7887.
CVE-2025-9217,IT-04955,TARGETS,0.82,Isoler IT-04955 et appliquer les correctifs pour CVE-2025-9217.
T9596,IT-02087,TARGETS,0.82,Isoler IT-02087 et appliquer les correctifs pour T9596.
T6140,IT-09098,TARGETS,0.84,Isoler IT-09098 et appliquer les correctifs pour T6140.
T2130,IT-01794,TARGETS,0.74,Isoler IT-01794 et appliquer les correctifs pour T2130.
CVE-2025-9595,IT-06495,TARGETS,0.58,Isoler IT-06495 et appliquer les correctifs pour CVE-2025-9595.
T8551,IT-00267,TARGETS,0.64,Isoler IT-00267 et appliquer les correctifs pour T8551.
T9404,IT-03255,TARGETS,0.78,Isoler IT-03255 et appliquer les correctifs pour T9404.
T3515,IT-06216,TARGETS,0.98,Isoler IT-06216 et appliquer les correctifs pour T3515.
T4513,IT-07391,TARGETS,0.82,Isoler IT-07391 et appliquer les correctifs pour T4513.
CVE-2024-4271,IT-09891,TARGETS,0.85,Isoler IT-09891 et appliquer les correctifs pour CVE-2024-4271.
CVE-2025-6563,IT-05440,TARGETS,0.89,Isoler IT-05440 et appliquer les correctifs pour CVE-2025-6563.
T1021,IT-06212,TARGETS,0.96,Isoler IT-06212 et appliquer les correctifs pour T1021.
T1059,IT-00940,TARGETS,0.71,Isoler IT-00940 et appliquer les correctifs pour T1059.
CVE-2020-2677,IT-09698,TARGETS,0.84,Isoler IT-09698 et appliquer les correctifs pour CVE-2020-2677.
CVE-2024-9024,IT-04551,TARGETS,0.55,Isoler IT-04551 et appliquer les correctifs pour CVE-2024-9024.
CVE-2023-6749,IT-09365,TARGETS,0.79,Isoler IT-09365 et appliquer les correctifs pour CVE-2023-6749.
T3663,IT-09765,TARGETS,0.81,Isoler IT-09765 et appliquer les correctifs pour T3663.
CVE-2022-1012,IT-03825,TARGETS,0.88,Isoler IT-03825 et appliquer les correctifs pour CVE-2022-1012.
CVE-2021-9014,IT-07653,TARGETS,0.51,Isoler IT-07653 et appliquer les correctifs pour CVE-2021-9014.
CVE-2024-1570,IT-04251,TARGETS,0.69,Isoler IT-04251 et appliquer les correctifs pour CVE-2024-1570.
CVE-2025-6147,IT-00517,TARGETS,0.62,Isoler IT-00517 et appliquer les correctifs pour CVE-2025-6147.
T4306,IT-02637,TARGETS,0.58,Isoler IT-02637 et appliquer les correctifs pour T4306.
CVE-2021-5526,IT-01970,TARGETS,0.93,Isoler IT-01970 et appliquer les correctifs pour CVE-2021-5526.
T2760,IT-00013,TARGETS,0.61,Isoler IT-00013 et appliquer les correctifs pour T2760.
CVE-2024-9832,IT-03268,TARGETS,0.82,Isoler IT-03268 et appliquer les correctifs pour CVE-2024-9832.
CVE-2024-6111,IT-06922,TARGETS,0.55,Isoler IT-06922 et appliquer les correctifs pour CVE-2024-6111.
CVE-2021-4514,IT-06997,TARGETS,0.76,Isoler IT-06997 et appliquer les correctifs pour CVE-2021-4514.
T5340,IT-07793,TARGETS,0.66,Isoler IT-07793 et appliquer les correctifs pour T5340.
T7752,IT-01311,TARGETS,0.58,Isoler IT-01311 et appliquer les correctifs pour T7752.
T4990,IT-07444,TARGETS,0.83,Isoler IT-07444 et appliquer les correctifs pour T4990.
T7150,IT-01460,TARGETS,0.62,Isoler IT-01460 et appliquer les correctifs pour T7150.
T6735,IT-02879,TARGETS,0.89,Isoler IT-02879 et appliquer les correctifs pour T6735.
T1796,IT-06199,TARGETS,0.7,Isoler IT-06199 et appliquer les correctifs pour T1796.
T9253,IT-05775,TARGETS,0.62,Isoler IT-05775 et appliquer les correctifs pour T9253.
CVE-2024-4172,IT-06219,TARGETS,0.52,Isoler IT-06219 et appliquer les correctifs pour CVE-2024-4172.
CVE-2020-5921,IT-09258,TARGETS,0.54,Isoler IT-09258 et appliquer les correctifs pour CVE-2020-5921.
CVE-2020-5818,IT-05334,TARGETS,0.89,Isoler IT-05334 et appliquer les correctifs pour CVE-2020-5818.
T1277,IT-09141,TARGETS,0.65,Isoler IT-09141 et appliquer les correctifs pour T1277.
CVE-2020-6231,IT-03202,TARGETS,0.88,Isoler IT-03202 et appliquer les correctifs pour CVE-2020-6231.
CVE-2020-2879,IT-06569,TARGETS,0.68,Isoler IT-06569 et appliquer les correctifs pour CVE-2020-2879.
T9207,IT-08243,TARGETS,0.62,Isoler IT-08243 et appliquer les correctifs pour T9207.
CVE-2024-3152,IT-07480,TARGETS,0.94,Isoler IT-07480 et appliquer les correctifs pour CVE-2024-3152.
T9529,IT-03232,TARGETS,0.64,Isoler IT-03232 et appliquer les correctifs pour T9529.
T6122,IT-02088,TARGETS,0.83,Isoler IT-02088 et appliquer les correctifs pour T6122.
CVE-2025-6147,IT-05232,TARGETS,0.53,Isoler IT-05232 et appliquer les correctifs pour CVE-2025-6147.
CVE-2023-3364,IT-00369,TARGETS,0.82,Isoler IT-00369 et appliquer les correctifs pour CVE-2023-3364.
T1059,IT-00843,TARGETS,0.69,Isoler IT-00843 et appliquer les correctifs pour T1059.
CVE-2022-7016,IT-07654,TARGETS,0.81,Isoler IT-07654 et appliquer les correctifs pour CVE-2022-7016.
CVE-2025-9217,IT-05221,TARGETS,0.8,Isoler IT-05221 et appliquer les correctifs pour CVE-2025-9217.
CVE-2024-5769,IT-08212,TARGETS,0.65,Isoler IT-08212 et appliquer les correctifs pour CVE-2024-5769.
CVE-2024-6334,IT-05605,TARGETS,0.55,Isoler IT-05605 et appliquer les correctifs pour CVE-2024-6334.
CVE-2024-7218,IT-08695,TARGETS,1.0,Isoler IT-08695 et appliquer les correctifs pour CVE-2024-7218.
CVE-2020-8697,IT-02492,TARGETS,0.58,Isoler IT-02492 et appliquer les correctifs pour CVE-2020-8697.
T9187,IT-06433,TARGETS,0.69,Isoler IT-06433 et appliquer les correctifs pour T9187.
T6956,IT-00214,TARGETS,0.74,Isoler IT-00214 et appliquer les correctifs pour T6956.
CVE-2021-6305,IT-09822,TARGETS,0.84,Isoler IT-09822 et appliquer les correctifs pour CVE-2021-6305.
T1557,IT-05717,TARGETS,0.62,Isoler IT-05717 et appliquer les correctifs pour T1557.
CVE-2024-9773,IT-05311,TARGETS,0.96,Isoler IT-05311 et appliquer les correctifs pour CVE-2024-9773.
CVE-2025-5360,IT-01075,TARGETS,0.51,Isoler IT-01075 et appliquer les correctifs pour CVE-2025-5360.
CVE-2021-8018,IT-04593,TARGETS,0.56,Isoler IT-04593 et appliquer les correctifs pour CVE-2021-8018.
CVE-2023-4761,IT-01243,TARGETS,0.78,Isoler IT-01243 et appliquer les correctifs pour CVE-2023-4761.
CVE-2022-5832,IT-05003,TARGETS,0.57,Isoler IT-05003 et appliquer les correctifs pour CVE-2022-5832.
T5831,IT-05120,TARGETS,0.78,Isoler IT-05120 et appliquer les correctifs pour T5831.
T1356,IT-03257,TARGETS,0.72,Isoler IT-03257 et appliquer les correctifs pour T1356.
CVE-2021-4016,IT-08037,TARGETS,0.91,Isoler IT-08037 et appliquer les correctifs pour CVE-2021-4016.
T3764,IT-03644,TARGETS,0.95,Isoler IT-03644 et appliquer les correctifs pour T3764.
CVE-2025-6667,IT-04832,TARGETS,0.74,Isoler IT-04832 et appliquer les correctifs pour CVE-2025-6667.
T4129,IT-02652,TARGETS,0.91,Isoler IT-02652 et appliquer les correctifs pour T4129.
T3544,IT-01915,TARGETS,0.98,Isoler IT-01915 et appliquer les correctifs pour T3544.
T9883,IT-05768,TARGETS,0.63,Isoler IT-05768 et appliquer les correctifs pour T9883.
T1199,IT-08735,TARGETS,0.57,Isoler IT-08735 et appliquer les correctifs pour T1199.
T7038,IT-09613,TARGETS,0.81,Isoler IT-09613 et appliquer les correctifs pour T7038.
CVE-2022-3988,IT-00442,TARGETS,0.59,Isoler IT-00442 et appliquer les correctifs pour CVE-2022-3988.
CVE-2025-2913,IT-02843,TARGETS,0.79,Isoler IT-02843 et appliquer les correctifs pour CVE-2025-2913.
CVE-2023-4253,IT-01155,TARGETS,0.97,Isoler IT-01155 et appliquer les correctifs pour CVE-2023-4253.
T8226,IT-03963,TARGETS,0.55,Isoler IT-03963 et appliquer les correctifs pour T8226.
T3610,IT-01575,TARGETS,0.97,Isoler IT-01575 et appliquer les correctifs pour T3610.
T5531,IT-04980,TARGETS,0.55,Isoler IT-04980 et appliquer les correctifs pour T5531.
T2028,IT-09778,TARGETS,0.96,Isoler IT-09778 et appliquer les correctifs pour T2028.
CVE-2024-7218,IT-02885,TARGETS,0.69,Isoler IT-02885 et appliquer les correctifs pour CVE-2024-7218.
CVE-2025-9217,IT-09232,TARGETS,0.9,Isoler IT-09232 et appliquer les correctifs pour CVE-2025-9217.
T9921,IT-00311,TARGETS,0.93,Isoler IT-00311 et appliquer les correctifs pour T9921.
T1800,IT-05128,TARGETS,0.74,Isoler IT-05128 et appliquer les correctifs pour T1800.
T3645,IT-01310,TARGETS,0.51,Isoler IT-01310 et appliquer les correctifs pour T3645.
T6074,IT-08176,TARGETS,0.75,Isoler IT-08176 et appliquer les correctifs pour T6074.
CVE-2025-9428,IT-07007,TARGETS,0.65,Isoler IT-07007 et appliquer les correctifs pour CVE-2025-9428.
CVE-2021-3787,IT-07079,TARGETS,0.93,Isoler IT-07079 et appliquer les correctifs pour CVE-2021-3787.
T4118,IT-00935,TARGETS,0.9,Isoler IT-00935 et appliquer les correctifs pour T4118.
T1076,IT-05249,TARGETS,0.99,Isoler IT-05249 et appliquer les correctifs pour T1076.
CVE-2023-9185,IT-09122,TARGETS,0.97,Isoler IT-09122 et appliquer les correctifs pour CVE-2023-9185.
CVE-2020-7509,IT-05223,TARGETS,0.83,Isoler IT-05223 et appliquer les correctifs pour CVE-2020-7509.
T1783,IT-07642,TARGETS,0.99,Isoler IT-07642 et appliquer les correctifs pour T1783.
CVE-2024-7476,IT-04542,TARGETS,0.98,Isoler IT-04542 et appliquer les correctifs pour CVE-2024-7476.
T3619,IT-05712,TARGETS,0.79,Isoler IT-05712 et appliquer les correctifs pour T3619.
T1151,IT-09054,TARGETS,0.93,Isoler IT-09054 et appliquer les correctifs pour T1151.
CVE-2023-4205,IT-04726,TARGETS,0.59,Isoler IT-04726 et appliquer les correctifs pour CVE-2023-4205.
T9529,IT-06139,TARGETS,0.79,Isoler IT-06139 et appliquer les correctifs pour T9529.
CVE-2021-9210,IT-09730,TARGETS,0.8,Isoler IT-09730 et appliquer les correctifs pour CVE-2021-9210.
T3412,IT-03794,TARGETS,0.84,Isoler IT-03794 et appliquer les correctifs pour T3412.
T4740,IT-02090,TARGETS,0.58,Isoler IT-02090 et appliquer les correctifs pour T4740.
T7915,IT-04018,TARGETS,0.97,Isoler IT-04018 et appliquer les correctifs pour T7915.
T4129,IT-00070,TARGETS,0.63,Isoler IT-00070 et appliquer les correctifs pour T4129.
CVE-2020-2788,IT-01688,TARGETS,0.8,Isoler IT-01688 et appliquer les correctifs pour CVE-2020-2788.
T9186,IT-00850,TARGETS,0.61,Isoler IT-00850 et appliquer les correctifs pour T9186.
T1048,IT-07842,TARGETS,0.77,Isoler IT-07842 et appliquer les correctifs pour T1048.
T2411,IT-06106,TARGETS,0.89,Isoler IT-06106 et appliquer les correctifs pour T2411.
CVE-2023-3518,IT-09886,TARGETS,0.82,Isoler IT-09886 et appliquer les correctifs pour CVE-2023-3518.
CVE-2021-5946,IT-00884,TARGETS,0.84,Isoler IT-00884 et appliquer les correctifs pour CVE-2021-5946.
T2969,IT-02566,TARGETS,0.83,Isoler IT-02566 et appliquer les correctifs pour T2969.
T1091,IT-02898,TARGETS,0.97,Isoler IT-02898 et appliquer les correctifs pour T1091.
T2512,IT-09033,TARGETS,0.61,Isoler IT-09033 et appliquer les correctifs pour T2512.
CVE-2022-1054,IT-01208,TARGETS,0.63,Isoler IT-01208 et appliquer les correctifs pour CVE-2022-1054.
CVE-2021-1922,IT-04469,TARGETS,0.66,Isoler IT-04469 et appliquer les correctifs pour CVE-2021-1922.
CVE-2025-5017,IT-06158,TARGETS,0.84,Isoler IT-06158 et appliquer les correctifs pour CVE-2025-5017.
T2956,IT-06934,TARGETS,0.55,Isoler IT-06934 et appliquer les correctifs pour T2956.
CVE-2021-7510,IT-03349,TARGETS,0.83,Isoler IT-03349 et appliquer les correctifs pour CVE-2021-7510.
CVE-2023-2463,IT-06253,TARGETS,0.71,Isoler IT-06253 et appliquer les correctifs pour CVE-2023-2463.
CVE-2022-3490,IT-03079,TARGETS,0.68,Isoler IT-03079 et appliquer les correctifs pour CVE-2022-3490.
T4558,IT-01159,TARGETS,0.95,Isoler IT-01159 et appliquer les correctifs pour T4558.
T2873,IT-01191,TARGETS,0.81,Isoler IT-01191 et appliquer les correctifs pour T2873.
T7874,IT-02044,TARGETS,0.73,Isoler IT-02044 et appliquer les correctifs pour T7874.
CVE-2021-7369,IT-05709,TARGETS,0.56,Isoler IT-05709 et appliquer les correctifs pour CVE-2021-7369.
CVE-2021-4713,IT-08898,TARGETS,0.63,Isoler IT-08898 et appliquer les correctifs pour CVE-2021-4713.
CVE-2022-8980,IT-00692,TARGETS,0.84,Isoler IT-00692 et appliquer les correctifs pour CVE-2022-8980.
CVE-2024-5205,IT-01531,TARGETS,0.79,Isoler IT-01531 et appliquer les correctifs pour CVE-2024-5205.
CVE-2023-3109,IT-06090,TARGETS,0.7,Isoler IT-06090 et appliquer les correctifs pour CVE-2023-3109.
T3763,IT-09856,TARGETS,0.86,Isoler IT-09856 et appliquer les correctifs pour T3763.
T5648,IT-08677,TARGETS,0.61,Isoler IT-08677 et appliquer les correctifs pour T5648.
T6961,IT-03476,TARGETS,0.68,Isoler IT-03476 et appliquer les correctifs pour T6961.
T8551,IT-06202,TARGETS,0.57,Isoler IT-06202 et appliquer les correctifs pour T8551.
CVE-2022-1497,IT-01637,TARGETS,1.0,Isoler IT-01637 et appliquer les correctifs pour CVE-2022-1497.
CVE-2025-5017,IT-09759,TARGETS,0.54,Isoler IT-09759 et appliquer les correctifs pour CVE-2025-5017.
CVE-2021-5994,IT-08355,TARGETS,0.83,Isoler IT-08355 et appliquer les correctifs pour CVE-2021-5994.
CVE-2025-2688,IT-02433,TARGETS,0.72,Isoler IT-02433 et appliquer les correctifs pour CVE-2025-2688.
T5251,IT-03206,TARGETS,0.8,Isoler IT-03206 et appliquer les correctifs pour T5251.
T9863,IT-05931,TARGETS,0.75,Isoler IT-05931 et appliquer les correctifs pour T9863.
CVE-2025-4206,IT-00597,TARGETS,0.56,Isoler IT-00597 et appliquer les correctifs pour CVE-2025-4206.
T7107,IT-06421,TARGETS,0.56,Isoler IT-06421 et appliquer les correctifs pour T7107.
T7102,IT-04545,TARGETS,0.59,Isoler IT-04545 et appliquer les correctifs pour T7102.
CVE-2022-7845,IT-09435,TARGETS,0.73,Isoler IT-09435 et appliquer les correctifs pour CVE-2022-7845.
T7038,IT-04773,TARGETS,0.97,Isoler IT-04773 et appliquer les correctifs pour T7038.
T7192,IT-02534,TARGETS,0.76,Isoler IT-02534 et appliquer les correctifs pour T7192.
T4142,IT-09177,TARGETS,0.53,Isoler IT-09177 et appliquer les correctifs pour T4142.
T7102,IT-05254,TARGETS,0.86,Isoler IT-05254 et appliquer les correctifs pour T7102.
CVE-2021-2629,IT-08094,TARGETS,0.6,Isoler IT-08094 et appliquer les correctifs pour CVE-2021-2629.
CVE-2023-5049,IT-06912,TARGETS,0.86,Isoler IT-06912 et appliquer les correctifs pour CVE-2023-5049.
T2697,IT-00378,TARGETS,0.96,Isoler IT-00378 et appliquer les correctifs pour T2697.
T2978,IT-00593,TARGETS,0.6,Isoler IT-00593 et appliquer les correctifs pour T2978.
CVE-2025-8914,IT-09150,TARGETS,0.98,Isoler IT-09150 et appliquer les correctifs pour CVE-2025-8914.
T5733,IT-09145,TARGETS,0.55,Isoler IT-09145 et appliquer les correctifs pour T5733.
CVE-2025-6069,IT-02981,TARGETS,0.53,Isoler IT-02981 et appliquer les correctifs pour CVE-2025-6069.
CVE-2021-4566,IT-09943,TARGETS,0.77,Isoler IT-09943 et appliquer les correctifs pour CVE-2021-4566.
T3776,IT-01316,TARGETS,0.69,Isoler IT-01316 et appliquer les correctifs pour T3776.
CVE-2020-8697,IT-04416,TARGETS,0.81,Isoler IT-04416 et appliquer les correctifs pour CVE-2020-8697.
CVE-2023-1240,IT-06936,TARGETS,0.84,Isoler IT-06936 et appliquer les correctifs pour CVE-2023-1240.
T8542,IT-09489,TARGETS,0.62,Isoler IT-09489 et appliquer les correctifs pour T8542.
T6439,IT-00328,TARGETS,0.8,Isoler IT-00328 et appliquer les correctifs pour T6439.
T7396,IT-09247,TARGETS,0.71,Isoler IT-09247 et appliquer les correctifs pour T7396.
CVE-2021-9323,IT-09797,TARGETS,1.0,Isoler IT-09797 et appliquer les correctifs pour CVE-2021-9323.
T9024,IT-01888,TARGETS,0.8,Isoler IT-01888 et appliquer les correctifs pour T9024.
T3772,IT-08034,TARGETS,0.53,Isoler IT-08034 et appliquer les correctifs pour T3772.
CVE-2020-3809,IT-04384,TARGETS,0.58,Isoler IT-04384 et appliquer les correctifs pour CVE-2020-3809.
CVE-2020-7631,IT-02220,TARGETS,0.55,Isoler IT-02220 et appliquer les correctifs pour CVE-2020-7631.
CVE-2025-2720,IT-06440,TARGETS,0.66,Isoler IT-06440 et appliquer les correctifs pour CVE-2025-2720.
T7747,IT-03352,TARGETS,0.53,Isoler IT-03352 et appliquer les correctifs pour T7747.
T4513,IT-05459,TARGETS,0.67,Isoler IT-05459 et appliquer les correctifs pour T4513.
CVE-2022-1012,IT-04865,TARGETS,0.62,Isoler IT-04865 et appliquer les correctifs pour CVE-2022-1012.
T4504,IT-07540,TARGETS,0.54,Isoler IT-07540 et appliquer les correctifs pour T4504.
CVE-2024-1389,IT-09708,TARGETS,0.57,Isoler IT-09708 et appliquer les correctifs pour CVE-2024-1389.
T8495,IT-01374,TARGETS,0.66,Isoler IT-01374 et appliquer les correctifs pour T8495.
CVE-2024-2766,IT-03572,TARGETS,0.51,Isoler IT-03572 et appliquer les correctifs pour CVE-2024-2766.
CVE-2025-8472,IT-02032,TARGETS,0.69,Isoler IT-02032 et appliquer les correctifs pour CVE-2025-8472.
CVE-2024-1876,IT-09613,TARGETS,0.99,Isoler IT-09613 et appliquer les correctifs pour CVE-2024-1876.
T3417,IT-08603,TARGETS,0.71,Isoler IT-08603 et appliquer les correctifs pour T3417.
T9256,IT-05430,TARGETS,0.78,Isoler IT-05430 et appliquer les correctifs pour T9256.
CVE-2025-7487,IT-08693,TARGETS,0.91,Isoler IT-08693 et appliquer les correctifs pour CVE-2025-7487.
CVE-2022-1361,IT-07600,TARGETS,0.71,Isoler IT-07600 et appliquer les correctifs pour CVE-2022-1361.
CVE-2024-9429,IT-06093,TARGETS,0.96,Isoler IT-06093 et appliquer les correctifs pour CVE-2024-9429.
T5831,IT-09476,TARGETS,0.67,Isoler IT-09476 et appliquer les correctifs pour T5831.
CVE-2024-1054,IT-06614,TARGETS,0.59,Isoler IT-06614 et appliquer les correctifs pour CVE-2024-1054.
T5799,IT-00685,TARGETS,0.77,Isoler IT-00685 et appliquer les correctifs pour T5799.
T5831,IT-03448,TARGETS,0.57,Isoler IT-03448 et appliquer les correctifs pour T5831.
T7181,IT-00017,TARGETS,0.62,Isoler IT-00017 et appliquer les correctifs pour T7181.
T8219,IT-08039,TARGETS,0.85,Isoler IT-08039 et appliquer les correctifs pour T8219.
T3851,IT-03674,TARGETS,0.87,Isoler IT-03674 et appliquer les correctifs pour T3851.
CVE-2020-8697,IT-06424,TARGETS,0.54,Isoler IT-06424 et appliquer les correctifs pour CVE-2020-8697.
T4710,IT-06757,TARGETS,0.86,Isoler IT-06757 et appliquer les correctifs pour T4710.
T9533,IT-02335,TARGETS,0.62,Isoler IT-02335 et appliquer les correctifs pour T9533.
CVE-2024-3865,IT-07320,TARGETS,0.76,Isoler IT-07320 et appliquer les correctifs pour CVE-2024-3865.
CVE-2022-8155,IT-04607,TARGETS,0.54,Isoler IT-04607 et appliquer les correctifs pour CVE-2022-8155.
CVE-2025-1625,IT-00112,TARGETS,0.56,Isoler IT-00112 et appliquer les correctifs pour CVE-2025-1625.
T1021,IT-08750,TARGETS,0.58,Isoler IT-08750 et appliquer les correctifs pour T1021.
T7612,IT-01663,TARGETS,0.6,Isoler IT-01663 et appliquer les correctifs pour T7612.
T4712,IT-09473,TARGETS,0.61,Isoler IT-09473 et appliquer les correctifs pour T4712.
CVE-2020-7609,IT-08379,TARGETS,0.88,Isoler IT-08379 et appliquer les correctifs pour CVE-2020-7609.
T6810,IT-05027,TARGETS,0.54,Isoler IT-05027 et appliquer les correctifs pour T6810.
T5531,IT-07727,TARGETS,0.61,Isoler IT-07727 et appliquer les correctifs pour T5531.
CVE-2020-7647,IT-09256,TARGETS,0.84,Isoler IT-09256 et appliquer les correctifs pour CVE-2020-7647.
T5970,IT-08041,TARGETS,0.59,Isoler IT-08041 et appliquer les correctifs pour T5970.
CVE-2023-1352,IT-08002,TARGETS,0.54,Isoler IT-08002 et appliquer les correctifs pour CVE-2023-1352.
T4285,IT-02440,TARGETS,0.59,Isoler IT-02440 et appliquer les correctifs pour T4285.
CVE-2017-0144,IT-02085,TARGETS,0.84,Isoler IT-02085 et appliquer les correctifs pour CVE-2017-0144.
CVE-2020-7168,IT-00527,TARGETS,0.87,Isoler IT-00527 et appliquer les correctifs pour CVE-2020-7168.
CVE-2020-5591,IT-09566,TARGETS,0.86,Isoler IT-09566 et appliquer les correctifs pour CVE-2020-5591.
CVE-2021-6035,IT-06955,TARGETS,0.74,Isoler IT-06955 et appliquer les correctifs pour CVE-2021-6035.
CVE-2021-2607,IT-03874,TARGETS,0.58,Isoler IT-03874 et appliquer les correctifs pour CVE-2021-2607.
CVE-2022-9850,IT-08802,TARGETS,0.78,Isoler IT-08802 et appliquer les correctifs pour CVE-2022-9850.
CVE-2020-6394,IT-05891,TARGETS,0.73,Isoler IT-05891 et appliquer les correctifs pour CVE-2020-6394.
CVE-2020-8239,IT-03146,TARGETS,0.68,Isoler IT-03146 et appliquer les correctifs pour CVE-2020-8239.
T2760,IT-06181,TARGETS,0.95,Isoler IT-06181 et appliquer les correctifs pour T2760.
CVE-2024-4990,IT-05110,TARGETS,0.88,Isoler IT-05110 et appliquer les correctifs pour CVE-2024-4990.
CVE-2021-9005,IT-03890,TARGETS,0.6,Isoler IT-03890 et appliquer les correctifs pour CVE-2021-9005.
T6140,IT-09783,TARGETS,0.59,Isoler IT-09783 et appliquer les correctifs pour T6140.
CVE-2024-6334,IT-08823,TARGETS,0.55,Isoler IT-08823 et appliquer les correctifs pour CVE-2024-6334.
CVE-2020-6846,IT-07059,TARGETS,0.87,Isoler IT-07059 et appliquer les correctifs pour CVE-2020-6846.
T7396,IT-05180,TARGETS,0.92,Isoler IT-05180 et appliquer les correctifs pour T7396.
T4310,IT-02433,TARGETS,0.74,Isoler IT-02433 et appliquer les correctifs pour T4310.
CVE-2022-1497,IT-03539,TARGETS,0.88,Isoler IT-03539 et appliquer les correctifs pour CVE-2022-1497.
CVE-2023-5049,IT-09784,TARGETS,0.78,Isoler IT-09784 et appliquer les correctifs pour CVE-2023-5049.
CVE-2024-6416,IT-02330,TARGETS,0.65,Isoler IT-02330 et appliquer les correctifs pour CVE-2024-6416.
T2838,IT-00949,TARGETS,0.94,Isoler IT-00949 et appliquer les correctifs pour T2838.
CVE-2021-6596,IT-01543,TARGETS,0.89,Isoler IT-01543 et appliquer les correctifs pour CVE-2021-6596.
CVE-2023-3364,IT-04882,TARGETS,0.99,Isoler IT-04882 et appliquer les correctifs pour CVE-2023-3364.
T9856,IT-00139,TARGETS,0.72,Isoler IT-00139 et appliquer les correctifs pour T9856.
CVE-2025-9428,IT-07128,TARGETS,0.72,Isoler IT-07128 et appliquer les correctifs pour CVE-2025-9428.
T2777,IT-05715,TARGETS,0.63,Isoler IT-05715 et appliquer les correctifs pour T2777.
T9711,IT-08186,TARGETS,1.0,Isoler IT-08186 et appliquer les correctifs pour T9711.
T6439,IT-02830,TARGETS,0.79,Isoler IT-02830 et appliquer les correctifs pour T6439.
CVE-2021-9014,IT-09840,TARGETS,0.9,Isoler IT-09840 et appliquer les correctifs pour CVE-2021-9014.
CVE-2023-8375,IT-06515,TARGETS,0.7,Isoler IT-06515 et appliquer les correctifs pour CVE-2023-8375.
CVE-2022-6297,IT-07561,TARGETS,0.76,Isoler IT-07561 et appliquer les correctifs pour CVE-2022-6297.
CVE-2020-7631,IT-00555,TARGETS,0.65,Isoler IT-00555 et appliquer les correctifs pour CVE-2020-7631.
CVE-2023-3063,IT-04937,TARGETS,0.87,Isoler IT-04937 et appliquer les correctifs pour CVE-2023-3063.
CVE-2021-6988,IT-02429,TARGETS,0.67,Isoler IT-02429 et appliquer les correctifs pour CVE-2021-6988.
CVE-2022-6800,IT-02911,TARGETS,0.67,Isoler IT-02911 et appliquer les correctifs pour CVE-2022-6800.
T8565,IT-00226,TARGETS,0.74,Isoler IT-00226 et appliquer les correctifs pour T8565.
CVE-2025-3301,IT-00228,TARGETS,0.99,Isoler IT-00228 et appliquer les correctifs pour CVE-2025-3301.
T9813,IT-07918,TARGETS,0.99,Isoler IT-07918 et appliquer les correctifs pour T9813.
CVE-2024-1715,IT-04546,TARGETS,0.72,Isoler IT-04546 et appliquer les correctifs pour CVE-2024-1715.
CVE-2020-5921,IT-05134,TARGETS,0.81,Isoler IT-05134 et appliquer les correctifs pour CVE-2020-5921.
CVE-2020-5227,IT-08239,TARGETS,0.91,Isoler IT-08239 et appliquer les correctifs pour CVE-2020-5227.
CVE-2025-5048,IT-05168,TARGETS,0.83,Isoler IT-05168 et appliquer les correctifs pour CVE-2025-5048.
T4881,IT-09128,TARGETS,0.63,Isoler IT-09128 et appliquer les correctifs pour T4881.
T1615,IT-08150,TARGETS,0.98,Isoler IT-08150 et appliquer les correctifs pour T1615.
T1905,IT-05089,TARGETS,0.75,Isoler IT-05089 et appliquer les correctifs pour T1905.
